True;Country_Name;Regional indicator;Ladder score;Standard error of ladder score;upperwhisker;lowerwhisker;Logged GDP per capita;Social support;Healthy life expectancy;Freedom to make life choices;Generosity;Perceptions of corruption;Ladder score in Dystopia;Explained by: Log GDP per capita;Explained by: Social support;Explained by: Healthy life expectancy;Explained by: Freedom to make life choices;Explained by: Generosity;Explained by: Perceptions of corruption;Dystopia + residual;cost of living index;cost of living plus rent index;Groceries index;restaurant price index;local purchasing power index;time_available_on_site;required visa for french citizen
74;China;East Asia;5,339;0,029;5,397;5,281;9,673;0,811;69,593;0,904;-0,146;0,755;2,43;1,061;0,785;0,665;0,636;0,093;0,117;1,982;41.77;29.93;46.01;28.37;59.99;/;particular country information on embassy site
75;Armenia;Commonwealth of Independent States;5,283;0,058;5,397;5,168;9,487;0,799;67,055;0,825;-0,168;0,629;2,43;0,996;0,758;0,585;0,54;0,079;0,198;2,127;33.89;23.45;27.59;30.55;28.86;180 days;not required
76;Nepal;South Asia;5,269;0,07;5,406;5,132;8,12;0,774;64,233;0,782;0,152;0,727;2,43;0,519;0,702;0,496;0,488;0,287;0,135;2,642;28.29;16.89;26.45;20.41;22.96;90 days;required to stay
77;Bulgaria;Central and Eastern Europe;5,266;0,054;5,371;5,16;10,016;0,931;67,0;0,788;-0,096;0,932;2,43;1,181;1,055;0,583;0,494;0,125;0,005;1,823;38.38;24.64;34.02;32.44;45.96;Unlimited stay;not required
78;Maldives;South Asia;5,198;0,072;5,339;5,057;9,826;0,913;70,6;0,854;0,024;0,825;2,43;1,115;1,015;0,697;0,575;0,204;0,073;1,52;57.66;44.78;56.60;34.72;28.59;30 days;required to stay
79;Azerbaijan;Commonwealth of Independent States;5,171;0,04;5,25;5,091;9,569;0,836;65,656;0,814;-0,223;0,506;2,43;1,025;0,841;0,541;0,526;0,043;0,276;1,919;29.73;19.48;26.57;26.73;27.26;30 days;Evisa
80;Cameroon;Sub-Saharan Africa;5,142;0,074;5,288;4,996;8,189;0,71;53,515;0,731;0,026;0,848;2,43;0,543;0,556;0,159;0,425;0,205;0,058;3,195;39.48;24.22;40.41;26.33;15.37;/;particular country information on embassy site
81;Senegal;Sub-Saharan Africa;5,132;0,068;5,266;4,998;8,118;0,71;59,802;0,695;-0,046;0,801;2,43;0,518;0,558;0,357;0,381;0,158;0,088;3,071;50.25;37.46;42.17;46.22;23.45;90 days;not required
82;Albania;Central and Eastern Europe;5,117;0,059;5,234;5,001;9,52;0,697;68,999;0,785;-0,03;0,901;2,43;1,008;0,529;0,646;0,491;0,168;0,024;2,25;35.50;22.83;29.32;25.82;30.19;90 days;not required
83;North Macedonia;Central and Eastern Europe;5,101;0,051;5,202;5,001;9,693;0,805;65,474;0,751;0,038;0,905;2,43;1,068;0,772;0,535;0,45;0,212;0,022;2,042;31.38;19.51;26.95;21.02;35.44;90 days;not required
84;Ghana;Sub-Saharan Africa;5,088;0,067;5,219;4,958;8,58;0,727;57,586;0,807;0,123;0,848;2,43;0,68;0,595;0,287;0,517;0,268;0,058;2,684;36.20;28.28;37.53;30.06;16.82;/;particular country information on embassy site
85;Bangladesh;South Asia;5,025;0,046;5,115;4,934;8,454;0,693;64,8;0,877;-0,041;0,682;2,43;0,635;0,52;0,514;0,603;0,161;0,164;2,427;33.13;19.67;30.41;21.70;25.30;30 days;required to stay
86;South Africa;Sub-Saharan Africa;4,956;0,06;5,074;4,839;9,403;0,86;56,904;0,749;-0,067;0,86;2,43;0,967;0,895;0,265;0,447;0,144;0,051;2,187;42.09;30.14;34.78;41.33;78.36;90 days;not required
87;Turkey;Middle East and North Africa;4,948;0,046;5,038;4,857;10,24;0,822;67,199;0,576;-0,139;0,776;2,43;1,26;0,809;0,59;0,236;0,097;0,104;1,852;28.31;18.15;22.64;18.40;32.88;90 days;not required
88;Pakistan;South Asia;4,934;0,068;5,066;4,802;8,458;0,651;58,709;0,726;0,098;0,787;2,43;0,637;0,423;0,322;0,418;0,252;0,097;2,784;19.92;12.42;17.81;15.54;26.63;3 months;Evisa
89;Morocco;Middle East and North Africa;4,918;0,06;5,036;4,8;8,903;0,56;66,208;0,774;-0,236;0,801;2,43;0,792;0,219;0,558;0,477;0,034;0,088;2,749;33.83;22.18;30.63;24.52;34.36;90 days;not required
90;Venezuela;Latin America and Caribbean;4,892;0,064;5,017;4,767;9,073;0,861;66,7;0,615;-0,169;0,827;2,43;0,852;0,897;0,574;0,284;0,078;0,072;2,135;43.20;27.63;37.34;46.23;15.41;90 days;not required
91;Georgia;Commonwealth of Independent States;4,891;0,054;4,998;4,785;9,585;0,671;64,3;0,783;-0,238;0,655;2,43;1,03;0,47;0,498;0,488;0,032;0,181;2,191;30.18;20.37;26.44;27.88;31.15;360 days;not required
92;Algeria;Middle East and North Africa;4,887;0,053;4,991;4,783;9,342;0,802;66,005;0,48;-0,067;0,752;2,43;0,946;0,765;0,552;0,119;0,144;0,12;2,242;26.87;16.43;28.82;14.48;24.63;/;particular country information on embassy site
93;Ukraine;Commonwealth of Independent States;4,875;0,052;4,977;4,773;9,436;0,888;64,902;0,724;-0,011;0,924;2,43;0,979;0,958;0,517;0,417;0,181;0,01;1,813;30.71;21.27;26.30;25.75;37.22;90 days;not required
94;Iraq;Middle East and North Africa;4,854;0,059;4,97;4,738;9,24;0,746;60,583;0,63;-0,053;0,875;2,43;0,91;0,638;0,381;0,302;0,153;0,041;2,429;34.47;23.29;30.46;28.31;40.92;60 days;required to stay
95;Cambodia;Southeast Asia;4,83;0,067;4,963;4,698;8,36;0,765;62,0;0,959;0,034;0,843;2,43;0,603;0,68;0,426;0,702;0,21;0,061;2,148;49.11;33.44;50.61;22.90;13.32;30 days;Evisa
96;Nigeria;Sub-Saharan Africa;4,759;0,052;4,861;4,658;8,533;0,74;50,102;0,737;0,037;0,878;2,43;0,663;0,625;0,051;0,433;0,212;0,039;2,736;30.49;33.07;33.65;20.92;9.34;90 days;Evisa
